country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
USA,1035765,,59266,NA,142238,834261,15298,3129,179,5919847,17885,North America
Spain,232128,,23822,NA,123903,84403,7764,4965,510,1345560,28779,Europe
Italy,201505,,27359,NA,68941,105205,1863,3333,453,1846934,30547,Europe
France,165911,,23660,NA,46886,95365,4387,2542,362,463662,7103,Europe
UK,161145,,21678,NA,"NA",139123,1559,2374,319,763387,11245,Europe
Germany,159912,,6314,NA,120400,33198,2409,1909,75,2072669,24738,Europe
Turkey,114653,,2992,NA,38809,72852,1621,1359,35,948115,11242,Asia
Russia,99399,5841,972,105,10286,88141,2300,681,7,3303717,22638,Europe
Iran,92584,,5877,NA,72439,14268,2983,1102,70,442590,5269,Asia
Brazil,73235,336,5083, 20,32544,35608,8318,345,24,339552,1597,South America
Canada,50026,,2859,NA,19190,27977,557,1325,76,754800,19999,North America
Belgium,47859,525,7501,170,11283,29075,797,4129,647,220204,19000,Europe
Netherlands,38416,,4566,NA,"NA",33600,861,2242,266,209726,12240,Europe
India,31332,8,1008,NA,7747,22577,,23,07,770764,559,Asia
Peru,31190,,854,NA,9179,21157,600,946,26,267612,8116,South America
Switzerland,29264,,1699,NA,22600,4965,185,3381,196,256500,29637,Europe
Portugal,24322,,948,NA,1389,21985,172,2385,93,379551,37223,Europe
Ecuador,24258,,871,NA,1557,21830,146,1375,49,61529,3487,South America
Saudi Arabia,20077,,152,NA,2784,17141,118,577,4,200000,5745,Asia
Ireland,19877,,1159,NA,9233,9485,141,4025,235,153954,31179,Europe
Sweden,19621,,2355,NA,1005,16261,524,1943,233,119500,11833,Europe
Mexico,16752,1223,1569,135,11423,3760,378,130,12,77005,597,North America
Israel,15782,54,212,  2,7929,7641,120,1823,24,313135,36177,Asia
Singapore,15641,690,14,NA,1128,14499,20,2674,2,121774,20815,Asia
Austria,15357,,569,NA,12580,2208,136,1705,63,239578,26601,Europe
Pakistan,14885,273,327, 15,3425,11133,111,67,1,165911,751,Asia
Chile,14365,,207,NA,7710,6448,426,751,11,166165,8692,South America
Japan,13736,,394,NA,1899,11443,300,109,3,160546,1269,Asia
Poland,12415,197,606, 10,3025,8784,160,328,16,310744,8211,Europe
Belarus,12208,,79,NA,1993,10136,92,1292,8,161028,17041,Europe
Qatar,11921,,10,NA,1134,10777,72,4138,3,88607,30755,Asia
Romania,11616,,663,NA,3404,7549,243,604,34,150309,7813,Europe
UAE,11380,,89,NA,2181,9110,1,1151,9,1122000,113443,Asia
S Korea,10761,9,246,  2,8922,1593,55,210,5,614197,11980,Asia
Ukraine,9866,456,250, 11,1103,8513,129,226,6,104544,2390,Europe
Indonesia,9771,260,784, 11,1391,7596,,36,3,79618,291,Asia
Denmark,9008,157,434,NA,6121,2453,66,1555,75,180062,31087,Europe
Serbia,8497,,168,NA,1260,7069,79,972,19,73363,8396,Europe
Philippines,8212,254,558, 28,1023,6631,31,75,5,95032,867,Asia
Norway,7660,,206,NA,32,7422,44,1413,38,165951,30611,Europe
Czechia,7504,,227,NA,2960,4317,73,701,21,234985,21943,Europe
Bangladesh,7103,641,163,  8,150,6790,1,43,10,59701,363,Asia
Australia,6738,,88,NA,5626,1024,42,264,3,536000,21020,AustraliaOceania
Dominican Republic,6416,,286,NA,1165,4965,144,591,26,23979,2210,North America
Panama,6200,179,176,  9,484,5540,89,1437,41,28795,6674,North America
Colombia,5949,,269,NA,1268,4412,118,117,5,90899,1786,South America
Malaysia,5851,,100,NA,4032,1719,36,181,3,152142,4701,Asia
Egypt,5042,,359,NA,1304,3379,,49,4,90000,879,Africa
South Africa,4996,,93,NA,2073,2830,36,84,2,185497,3128,Africa
Finland,4740,,199,NA,2800,1741,56,855,36,85800,15485,Europe
Morocco,4252,,165,NA,778,3309,1,115,4,32250,874,Africa
Argentina,4127,,207,NA,1162,2758,144,91,5,53600,1186,South America
Luxembourg,3741,,89,NA,3123,529,19,5976,142,39741,63486,Europe
Algeria,3649,,437,NA,1651,1561,22,83,10,6500,148,Africa
Moldova,3638,,107,  4,975,2556,212,902,27,11763,2916,Europe
Kuwait,3440,,23,NA,1176,2241,67,806,5,179000,41915,Asia
Kazakhstan,3079,52,25,NA,774,2280,41,164,1,232415,12378,Asia
Thailand,2947,9,54,NA,2665,228,61,42,08,178083,2551,Asia
Bahrain,2811,,8,NA,1310,1493,2,1652,5,121706,71525,Asia
Hungary,2727,78,300,  9,536,1891,50,282,31,70300,7277,Europe
Greece,2566,,138,NA,577,1851,40,246,13,69833,6700,Europe
Oman,2274,143,10,NA,364,1900,3,445,2,,,Asia
Croatia,2047,,63,NA,1232,752,21,499,15,33577,8179,Europe
Uzbekistan,1955,16,8,NA,994,953,8,58,02,242536,7247,Asia
Armenia,1932,65,30,NA,900,1002,10,652,10,20189,6813,Asia
Iraq,1928,,90,NA,1319,519,,48,2,73782,1834,Asia
Afghanistan,1828,,58,NA,228,1542,7,47,1,9000,231,Asia
Cameroon,1806,101,59,  1,915,832,12,68,2,,,Africa
Iceland,1795,,10,NA,1636,149,1,5260,29,46377,135906,Europe
Azerbaijan,1717,,22,NA,1221,474,15,169,2,132640,13082,Asia
Ghana,1671,,16,NA,188,1467,4,54,05,100622,3238,Africa
Estonia,1666,6,50,NA,236,1380,10,1256,38,51188,38588,Europe
Bosnia and Herzegovina,1585,,63,NA,682,840,4,483,19,27603,8413,Europe
Nigeria,1532,,44,NA,255,1233,2,7,02,10918,53,Africa
