country_other,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,continent
USA,1038490,2725,59438,172,143117,835935,19098,3137,180,5965216,18022,North America
Spain,236899,4771,24275,453,132929,79695,7764,5067,519,1414477,30253,Europe
Italy,201505,,27359,,68941,105205,1863,3333,453,1846934,30547,Europe
France,165911,,23660,,46886,95365,4387,2542,362,463662,7103,Europe
UK,161145,,21678,,"NA",139123,1559,2374,319,763387,11245,Europe
Germany,160479,567,6330,16,120400,33749,2409,1915,76,2072669,24738,Europe
Turkey,114653,,2992,,38809,72852,1621,1359,35,948115,11242,Asia
Russia,99399,5841,972,105,10286,88141,2300,681,7,3303717,22638,Europe
Iran,93657,1073,5957,80,73791,13909,2965,1115,71,453386,5398,Asia
Brazil,73235,336,5083,20,32544,35608,8318,345,24,339552,1597,South America
Canada,50026,,2859,,19190,27977,557,1325,76,754800,19999,North America
Belgium,47859,525,7501,170,11283,29075,797,4129,647,226724,19563,Europe
Netherlands,38802,386,4711,145,"NA",33841,804,2265,275,213372,12453,Europe
India,31787,463,1008,,7796,22983,,23,07,770764,559,Asia
Peru,31190,,854,,9179,21157,600,946,26,267612,8116,South America
Switzerland,29407,143,1703,4,22600,5104,185,3398,197,260500,30100,Europe
Portugal,24505,183,973,25,1470,22062,169,2403,95,379551,37223,Europe
Ecuador,24258,,871,,1557,21830,146,1375,49,61529,3487,South America
Saudi Arabia,21402,1325,157,5,2953,18292,125,615,5,200000,5745,Asia
Sweden,20302,681,2462,107,1005,16835,479,2010,244,119500,11833,Europe
Ireland,19877,,1159,,9233,9485,141,4025,235,153954,31179,Europe
Mexico,16752,1223,1569,135,11423,3760,378,130,12,77005,597,North America
Israel,15782,54,212,2,7929,7641,120,1823,24,313135,36177,Asia
Singapore,15641,690,14,,1188,14439,22,2674,2,143919,24600,Asia
Austria,15402,45,580,11,12779,2043,131,1710,64,247754,27509,Europe
Pakistan,15289,677,335,23,3425,11529,111,69,2,165911,751,Asia
Chile,14365,,207,,7710,6448,426,751,11,166165,8692,South America
Japan,13736,,394,,1899,11443,300,109,3,160546,1269,Asia
Belarus,13181,973,84,5,2072,11025,92,1395,9,168986,17883,Europe
Qatar,12564,643,10,,1243,11311,72,4361,3,91415,31730,Asia
Poland,12415,197,606,10,3025,8784,160,328,16,324527,8575,Europe
Romania,11978,362,681,18,3569,7728,247,623,35,166993,8681,Europe
UAE,11380,,89,,2181,9110,1,1151,9,1122000,113443,Asia
S Korea,10761,9,246,2,8922,1593,55,210,5,614197,11980,Asia
Ukraine,9866,456,250,11,1103,8513,129,226,6,104544,2390,Europe
Indonesia,9771,260,784,11,1391,7596,,36,3,86985,318,Asia
Denmark,9008,157,443,9,6366,2199,66,1555,76,180062,31087,Europe
Serbia,8724,227,173,5,1292,7259,78,998,20,78942,9035,Europe
Philippines,8212,254,558,28,1023,6631,31,75,5,98941,903,Asia
Norway,7680,20,207,1,32,7441,44,1417,38,165951,30611,Europe
Czechia,7504,,227,,2960,4317,73,701,21,234985,21943,Europe
Bangladesh,7103,641,163,8,150,6790,1,43,10,59701,363,Asia
Australia,6746,8,89,1,5667,990,38,265,3,544410,21350,AustraliaOceania
Dominican Republic,6416,,286,,1165,4965,144,591,26,23979,2210,North America
Panama,6200,179,176,9,484,5540,89,1437,41,28795,6674,North America
Colombia,5949,,269,,1268,4412,118,117,5,90899,1786,South America
Malaysia,5945,94,100,,4087,1758,40,184,3,154203,4764,Asia
Egypt,5042,,359,,1304,3379,,49,4,90000,879,Africa
South Africa,4996,,93,,2073,2830,36,84,2,185497,3128,Africa
Finland,4906,166,206,7,2800,1900,51,885,37,89800,16207,Europe
Morocco,4289,37,167,2,890,3232,1,116,5,32076,869,Africa
Argentina,4127,,207,,1192,2728,144,91,5,56058,1240,South America
Moldova,3771,133,107,4,1114,2550,212,935,27,11763,2916,Europe
Luxembourg,3741,,89,,3123,529,19,5976,142,39741,63486,Europe
Kuwait,3740,300,24,1,1389,2327,66,876,6,179000,41915,Asia
Algeria,3649,,437,,1651,1561,22,83,10,6500,148,Africa
Kazakhstan,3105,78,25,,798,2282,41,165,1,232415,12378,Asia
Thailand,2947,9,54,,2665,228,61,42,08,178083,2551,Asia
Bahrain,2811,,8,,1310,1493,2,1652,5,121706,71525,Asia
Hungary,2727,78,300,9,536,1891,50,282,31,70300,7277,Europe
Greece,2566,,138,,577,1851,40,246,13,69833,6700,Europe
Oman,2274,143,10,,364,1900,3,445,2,,,Asia
Croatia,2062,15,67,4,1288,707,19,502,16,34476,8398,Europe
Uzbekistan,1969,30,8,,1066,895,8,59,02,242536,7247,Asia
Afghanistan,1939,111,60,2,252,1627,7,50,2,9000,231,Asia
Armenia,1932,65,30,,900,1002,10,652,10,20189,6813,Asia
Iraq,1928,,90,,1319,519,,48,2,73782,1834,Asia
Cameroon,1806,101,59,1,915,832,12,68,2,,,Africa
Iceland,1797,2,10,,1656,131,,5266,29,47573,139411,Europe
Azerbaijan,1766,49,23,1,1267,476,18,174,2,137379,13549,Asia
Bosnia and Herzegovina,1677,92,65,2,710,902,4,511,20,29130,8879,Europe
Ghana,1671,,16,,188,1467,4,54,05,100622,3238,Africa
Estonia,1666,6,50,,236,1380,10,1256,38,51188,38588,Europe
Nigeria,1532,,44,,255,1233,2,7,02,12828,62,Africa
New Zealand,1474,2,19,,1229,226,1,306,4,128703,26690,AustraliaOceania
Bulgaria,1447,48,64,6,243,1140,38,208,9,45208,6506,Europe
North Macedonia,1442,21,73,2,627,742,13,692,35,16050,7704,Europe
Cuba,1437,,58,,575,804,12,127,5,43508,3841,North America
Slovenia,1418,10,89,3,230,1099,25,682,43,51607,24824,Europe
Slovakia,1391,7,22,2,484,885,8,255,4,81338,14898,Europe
Lithuania,1375,31,45,1,563,767,17,505,17,118201,43420,Europe
Guinea,1240,,7,,269,964,,94,05,,,Africa
Ivory Coast,1183,,14,,525,644,,45,05,,,Africa
Djibouti,1077,5,2,,599,476,,1090,2,12985,13143,Africa
Bolivia,1053,39,55,2,110,888,3,90,5,5791,496,South America
Hong Kong,1038,,4,,830,204,4,138,05,145640,19426,Asia
Tunisia,975,,40,,279,656,18,82,3,21477,1817,Africa
Senegal,882,59,9,,315,558,1,53,05,466,28,Africa
Latvia,849,13,15,2,348,486,4,450,8,54811,29059,Europe
Cyprus,843,6,15,,148,680,15,698,12,53219,44079,Asia
Albania,766,16,30,,455,281,4,266,10,8028,2790,Europe
